,,"Name (click to view profile)","Profile ID",Date,Likes,"Live video timestamp",Comment,"Image URLs","Author Avatar","Comment Edited","Comment URL"
1,,"Kevin Cruz",pfbid0rnyiZx34zkqkfXjJKLrckXnhYexxn4TLHZscKd8uavtrvvQ5GjsXdf7bW2BHPfJHl,"2024-10-25 06:56:05",11,-,"Se jodió el país",,https://scontent.fkul8-4.fna.fbcdn.net/v/t39.30808-1/432913809_7119930641462868_7389863379036870617_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=100&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=dHE3Mxol5QMQ7kNvgFW6gPF&_nc_zt=24&_nc_ht=scontent.fkul8-4.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYDpXK9E7icw_KurZUgnXEZGqmv1E54eNjY4Z22odbKVUQ&oe=6742C296,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1081904736908810
2,,"Yorgelis Nataly Bustillos Quero",pfbid02Zbzr3LXEe8Pgw3qrtWVTNTHbAZRuqtvNeAPBPChSntSwdAnUTLX8h2NXMkLfjQwHl,"2024-10-25 06:56:21",7,-,"Dicen de 4 am a 9ame y nos las quitan Justo a las 12 🥴🥴",,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.30808-1/432398046_1261148978605932_2871661783083882354_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=104&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=GtpJP9k3D-EQ7kNvgFcmcTm&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAqp5r3M8s619Gu9vQzWeeiSQ1xW_obgqheTeim3H6CDw&oe=6742AFDA,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/885184990410415
3,,"Dario Sornoza",pfbid0Eqq6gQt7dsVWttomXjCDKbbjnp2VYZ8ihBuYWZt1wkwjwdzfwRmA97mgWMRA4VgYl,"2024-10-25 06:58:33",82,-,"El presidente ni en el país a de estar , como siempre huyendo del país",,https://scontent.fkul8-3.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s64x64&_nc_cat=1&ccb=1-7&_nc_sid=136b72&_nc_ohc=bYLP8ChJYTYQ7kNvgFnuW_8&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAfxP6fSY4hXfe3_bWYg5BemLsz80FeHor8u_Ul-DLw6A&oe=67644FBA,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1297811111218157
4,,"Carolina Paola Fajardo",100028374858691,"2024-10-25 06:58:52",62,-,"Maldito gobierno",,https://scontent.fkul8-1.fna.fbcdn.net/v/t39.30808-1/465464583_1406213313667817_8213673115807234330_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=103&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=ytHJJibLVMsQ7kNvgG_8dFX&_nc_zt=24&_nc_ht=scontent.fkul8-1.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAuy4GI1k9vUVPBllb4MbMaB0DRAbhiiYZ88oguikmc5A&oe=6742D228,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/524119697066085
5,,"RP Films Bastoneras",100064173392851,"2024-10-25 07:01:23",5,-,"De mal en peor!!!!",,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.30808-1/465787896_942555417893563_834465737197501710_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=104&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=jmXJOEfAQd4Q7kNvgG9EK_3&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYD6X04dSUz_3KDSRY_cUqXBbFCjAt1Ccuuu8RstYHlNww&oe=6742E1C3,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/9052471278105183
6,,"Isabel Menendez",100055098716707,"2024-10-25 07:05:06",39,-,"Hay que hacer huelga con este país",,https://scontent.fkul8-2.fna.fbcdn.net/v/t39.30808-1/451080681_1030107958835818_8801334452323440479_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=110&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=PfqhwCLANIsQ7kNvgE5H94U&_nc_zt=24&_nc_ht=scontent.fkul8-2.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAOjevSEmsXtIikYbzc4T0SgwO9zf8418vW8AnLqGr8_A&oe=6742D2D2,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/596581226028201
7,,"Carolina Paola Fajardo",100028374858691,"2024-10-25 07:06:00",8,-,"Ese payaso debería largarse no sabe gobernar tareas de inútiles que gobierna el país todo se fue a la mierda quien podría vivir 14 horas sin energía eléctrica y los negocios se irán o Ys están en la quiebra por un gobierno ineficiente",,https://scontent.fkul8-1.fna.fbcdn.net/v/t39.30808-1/465464583_1406213313667817_8213673115807234330_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=103&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=ytHJJibLVMsQ7kNvgG_8dFX&_nc_zt=24&_nc_ht=scontent.fkul8-1.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAuy4GI1k9vUVPBllb4MbMaB0DRAbhiiYZ88oguikmc5A&oe=6742D228,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1615683112655723
8,,"Katherin Torres",pfbid06frhsbh8fzdvsA4fyEWKh9Ta7ep9aKVMqJFCBzR4A3foW7CgRusJHqNMUdnNP3Hbl,"2024-10-25 07:09:03",6,-,"Mejor llevense el medidor crvgas 😒",,https://scontent-sof1-2.xx.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s64x64&_nc_cat=110&ccb=1-7&_nc_sid=136b72&_nc_ohc=bYLP8ChJYTYQ7kNvgHhInfM&_nc_zt=24&_nc_ht=scontent-sof1-2.xx&_nc_gid=AWYzL2p1t1qz-UX0AKGDcgx&oh=00_AYAIMhqFnzWOYzgfvZOKv4fV2ECIPeDk-msfA1OOx9ZoEw&oe=67644FBA,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/584181764281838
9,,"Rose Rodriguez",pfbid02kBefTN1xzNrJUS6G4kS6HHysPLGmLTpGKXHZB49Roa1LhFWdpSSPvU2iFftetmK7l,"2024-10-25 07:11:20",122,-,"Yo solo quiero llorar 😭",,https://scontent.fupg6-1.fna.fbcdn.net/v/t39.30808-1/465053594_2875706395933860_8580798918684028049_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=104&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=Wh2g5C6QUgkQ7kNvgECPECX&_nc_zt=24&_nc_ht=scontent.fupg6-1.fna&_nc_gid=AlwzFt15-wNI-E31hW_afNQ&oh=00_AYDAxyLFvdId2WMSQQq4K8NOyZSVI-JY7clLIMZltDy1zw&oe=6742B31A,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1474630316424730
10,,"Jorge Luis Ortiz Ramos",pfbid025Wap2mWuCscEThm6fxi2MmNEmQKVUEr1DhXC4nBsjy6qAFgDvCeiDqMF97fTPgm3l,"2024-10-25 07:12:10",12,-,"Pagaba $12en luz y me viene la planilla en $44.86 mañana a primera hora me acerco a sus ventanillas y me van a conocer tracalada de INFELICES",,https://scontent.fkul8-2.fna.fbcdn.net/v/t39.30808-1/460851077_3860302880917141_8667209483267489083_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=108&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=fRBBgk8ANJoQ7kNvgGUYPDT&_nc_zt=24&_nc_ht=scontent.fkul8-2.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYD_4r5H9gBEXZHN9MhH7cMAVyrxtW1oF8aoyYpt3BJ_VA&oe=6742B043,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/900925964917382
