area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;001706;029;01;1;2;2;3;1;2;2;2;3;010150001706;01015000170602901;010150001706029011;2713;98,5568285381218;202201
1;10150;001706;029;01;2;3;3;1;2;3;3;3;3;010150001706;01015000170602901;010150001706029012;2713;98,5568285381218;202201
1;10150;001706;029;02;1;3;3;1;1;3;3;3;3;010150001706;01015000170602902;010150001706029021;2713;98,5568285381218;202201
1;10150;001706;029;03;1;3;2;1;2;3;2;3;2;010150001706;01015000170602903;010150001706029031;2713;98,5568285381218;202201
1;10150;001706;029;06;1;1;2;1;1;2;2;3;3;010150001706;01015000170602906;010150001706029061;2713;98,5568285381218;202201
1;10150;001706;029;07;1;2;3;2;2;3;3;3;3;010150001706;01015000170602907;010150001706029071;2713;98,5568285381218;202201
1;10150;001706;029;09;1;2;2;2;2;3;3;2;3;010150001706;01015000170602909;010150001706029091;2713;98,5568285381218;202201
1;10150;001706;029;10;1;2;2;2;3;3;3;3;3;010150001706;01015000170602910;010150001706029101;2713;98,5568285381218;202201
1;10150;002101;002;02;1;2;2;2;2;2;3;2;2;010150002101;01015000210100202;010150002101002021;2713;52,2002521814946;202201
1;10150;002101;002;04;1;2;2;1;3;3;2;3;2;010150002101;01015000210100204;010150002101002041;2713;52,2002521814946;202201
1;10150;002101;002;05;1;3;3;3;3;3;3;2;3;010150002101;01015000210100205;010150002101002051;2713;52,2002521814946;202201
1;10150;002101;002;06;1;3;2;3;3;3;2;1;1;010150002101;01015000210100206;010150002101002061;2713;52,2002521814946;202201
1;10150;002101;002;07;1;2;1;3;2;3;3;2;2;010150002101;01015000210100207;010150002101002071;2713;52,2002521814946;202201
1;10150;002101;002;09;1;1;2;1;1;1;2;3;2;010150002101;01015000210100209;010150002101002091;2713;52,2002521814946;202201
1;10150;002101;002;10;1;3;3;2;1;3;3;2;2;010150002101;01015000210100210;010150002101002101;2713;52,2002521814946;202201
1;10150;002301;001;01;1;2;2;2;2;2;2;2;2;010150002301;01015000230100101;010150002301001011;2711;69,5460944482782;202201
1;10150;002301;001;02;1;3;2;2;2;2;2;2;2;010150002301;01015000230100102;010150002301001021;2711;69,5460944482782;202201
1;10150;002301;001;03;1;2;2;1;2;3;2;2;2;010150002301;01015000230100103;010150002301001031;2711;69,5460944482782;202201
1;10150;002301;001;04;1;3;2;1;2;3;2;2;2;010150002301;01015000230100104;010150002301001041;2711;69,5460944482782;202201
1;10150;002301;001;05;1;2;2;2;2;3;2;3;2;010150002301;01015000230100105;010150002301001051;2711;69,5460944482782;202201
1;10150;002301;001;06;1;1;2;1;2;1;1;1;1;010150002301;01015000230100106;010150002301001061;2711;69,5460944482782;202201
1;10150;002301;001;07;1;2;3;1;2;3;2;2;2;010150002301;01015000230100107;010150002301001071;2711;69,5460944482782;202201
1;10150;003806;025;01;1;2;2;2;2;2;2;3;3;010150003806;01015000380602501;010150003806025011;2711;98,3536652904576;202201
1;10150;003806;025;02;1;3;3;2;2;2;2;3;2;010150003806;01015000380602502;010150003806025021;2711;98,3536652904576;202201
1;10150;003806;025;03;1;2;2;2;1;3;3;2;3;010150003806;01015000380602503;010150003806025031;2711;98,3536652904576;202201
1;10150;003806;025;05;1;2;2;1;1;3;3;3;3;010150003806;01015000380602505;010150003806025051;2711;98,3536652904576;202201
1;10150;003806;025;06;1;2;2;2;2;1;1;2;1;010150003806;01015000380602506;010150003806025061;2711;98,3536652904576;202201
1;10150;004101;002;01;1;2;2;1;2;3;2;3;2;010150004101;01015000410100201;010150004101002011;2713;129,091844301271;202201
1;10150;004101;002;02;1;2;2;1;2;2;2;1;2;010150004101;01015000410100202;010150004101002021;2713;129,091844301271;202201
1;10150;004101;002;04;1;2;2;2;1;3;2;3;2;010150004101;01015000410100204;010150004101002041;2713;129,091844301271;202201
1;10150;004101;002;05;1;1;2;1;2;2;2;3;2;010150004101;01015000410100205;010150004101002051;2713;129,091844301271;202201
1;10150;004101;002;09;1;1;2;2;2;3;2;3;2;010150004101;01015000410100209;010150004101002091;2713;129,091844301271;202201
1;10150;005103;025;01;1;2;2;2;2;3;3;3;3;010150005103;01015000510302501;010150005103025011;2713;268,705337594446;202201
1;10150;005103;025;02;1;3;2;1;1;3;3;3;3;010150005103;01015000510302502;010150005103025021;2713;268,705337594446;202201
1;10150;005103;025;03;1;1;2;2;2;3;3;3;3;010150005103;01015000510302503;010150005103025031;2713;268,705337594446;202201
1;10150;005103;025;04;1;2;2;1;1;2;2;3;3;010150005103;01015000510302504;010150005103025041;2713;268,705337594446;202201
1;10150;005103;025;05;1;2;2;1;1;3;2;3;3;010150005103;01015000510302505;010150005103025051;2713;268,705337594446;202201
1;10150;005103;025;06;1;2;3;1;1;3;3;3;3;010150005103;01015000510302506;010150005103025061;2713;268,705337594446;202201
1;10150;005103;025;07;1;2;2;1;1;2;2;3;3;010150005103;01015000510302507;010150005103025071;2713;268,705337594446;202201
1;10150;005701;025;01;1;2;2;1;1;2;2;2;3;010150005701;01015000570102501;010150005701025011;2712;113,245181328606;202201
1;10150;005701;025;02;1;2;2;2;2;3;3;2;2;010150005701;01015000570102502;010150005701025021;2712;113,245181328606;202201
1;10150;005701;025;03;1;3;3;2;2;2;2;2;2;010150005701;01015000570102503;010150005701025031;2712;113,245181328606;202201
1;10150;005701;025;04;1;2;2;1;1;3;3;3;2;010150005701;01015000570102504;010150005701025041;2712;113,245181328606;202201
1;10150;005701;025;06;1;2;2;2;2;3;2;2;2;010150005701;01015000570102506;010150005701025061;2712;113,245181328606;202201
1;10150;005701;025;07;1;2;2;2;2;2;2;2;2;010150005701;01015000570102507;010150005701025071;2712;113,245181328606;202201
1;10150;005701;025;08;1;2;2;2;2;3;2;3;2;010150005701;01015000570102508;010150005701025081;2712;113,245181328606;202201
1;10150;005904;001;02;1;3;3;3;1;2;3;3;3;010150005904;01015000590400102;010150005904001021;2713;206,989479598493;202201
1;10150;005904;001;03;1;3;2;1;2;3;2;2;3;010150005904;01015000590400103;010150005904001031;2713;206,989479598493;202201
1;10150;005904;001;04;1;3;2;1;2;3;3;3;3;010150005904;01015000590400104;010150005904001041;2713;206,989479598493;202201
1;10150;005904;001;05;1;3;2;1;1;3;3;3;3;010150005904;01015000590400105;010150005904001051;2713;206,989479598493;202201
1;10150;005904;001;06;1;3;3;1;1;3;3;3;3;010150005904;01015000590400106;010150005904001061;2713;206,989479598493;202201
1;10150;005904;001;06;2;3;3;1;2;3;3;3;3;010150005904;01015000590400106;010150005904001062;2713;206,989479598493;202201
1;10150;005904;001;07;1;3;2;1;2;3;2;2;3;010150005904;01015000590400107;010150005904001071;2713;206,989479598493;202201
1;10150;005904;001;09;1;2;2;2;2;2;2;2;2;010150005904;01015000590400109;010150005904001091;2713;206,989479598493;202201
1;10150;007501;025;01;1;2;2;1;1;2;2;2;2;010150007501;01015000750102501;010150007501025011;2712;135,030998449313;202201
1;10150;007501;025;02;1;3;3;3;3;3;3;3;3;010150007501;01015000750102502;010150007501025021;2712;135,030998449313;202201
1;10150;007501;025;03;1;3;2;2;2;3;3;3;3;010150007501;01015000750102503;010150007501025031;2712;135,030998449313;202201
1;10150;007501;025;04;1;2;2;2;3;3;3;3;2;010150007501;01015000750102504;010150007501025041;2712;135,030998449313;202201
1;10150;007501;025;05;1;2;2;2;2;3;2;3;3;010150007501;01015000750102505;010150007501025051;2712;135,030998449313;202201
1;10150;007501;025;06;1;3;2;2;2;2;3;3;3;010150007501;01015000750102506;010150007501025061;2712;135,030998449313;202201
1;10150;007501;025;07;1;2;2;2;2;2;2;2;2;010150007501;01015000750102507;010150007501025071;2712;135,030998449313;202201
1;10150;009903;002;01;1;2;2;2;2;3;3;3;3;010150009903;01015000990300201;010150009903002011;2713;122,315895013458;202201
1;10150;009903;002;02;1;2;2;2;2;3;3;3;3;010150009903;01015000990300202;010150009903002021;2713;122,315895013458;202201
1;10150;009903;002;03;1;2;1;1;2;2;2;3;1;010150009903;01015000990300203;010150009903002031;2713;122,315895013458;202201
1;10150;009903;002;04;1;1;2;2;2;3;2;3;2;010150009903;01015000990300204;010150009903002041;2713;122,315895013458;202201
1;10150;009903;002;05;1;2;2;2;2;2;2;2;2;010150009903;01015000990300205;010150009903002051;2713;122,315895013458;202201
1;10150;009903;002;06;1;3;2;3;2;3;3;3;3;010150009903;01015000990300206;010150009903002061;2713;122,315895013458;202201
1;10150;009903;002;07;1;2;2;2;2;3;3;2;2;010150009903;01015000990300207;010150009903002071;2713;122,315895013458;202201
1;10150;010102;001;01;1;2;2;2;2;2;2;2;2;010150010102;01015001010200101;010150010102001011;2713;242,045122719433;202201
1;10150;010102;001;02;1;2;2;2;1;3;2;1;1;010150010102;01015001010200102;010150010102001021;2713;242,045122719433;202201
1;10150;010102;001;03;1;2;2;1;2;2;2;3;3;010150010102;01015001010200103;010150010102001031;2713;242,045122719433;202201
1;10150;010102;001;04;1;3;2;2;1;2;2;3;3;010150010102;01015001010200104;010150010102001041;2713;242,045122719433;202201
1;10150;010102;001;05;1;2;2;2;2;1;2;1;2;010150010102;01015001010200105;010150010102001051;2713;242,045122719433;202201
1;10150;010102;001;06;1;2;2;1;2;2;2;3;3;010150010102;01015001010200106;010150010102001061;2713;242,045122719433;202201
1;10150;010102;001;07;1;2;2;2;2;3;3;2;2;010150010102;01015001010200107;010150010102001071;2713;242,045122719433;202201
1;10150;010702;001;01;1;2;1;1;2;1;1;3;2;010150010702;01015001070200101;010150010702001011;2713;101,849093800801;202201
