Agente;TipodeCentral;Central;Unidad;Julio;Agosto;Septiembre
AGROAZUCAR;BMAS;C. T. AGROAZUCAR;AGROAZUCAR U1;4,52;3,44;2,84
AGROAZUCAR GEN;BMAS;C. T. AGROAZUCAR PROVISIONAL;AGROAZUCAR U2;7,22;8,19;7,18
ALTGENOTEC;FVOL;C. F. ALTGENOTEC;ALTGENOTEC FV U01;0,07;0,07;0,08
BRINEFORCORP;FVOL;C. F. BRINEFORCORP;BRINEFORCORP FV U01;0,10;0,13;0,09
CBS ENERGY S.A;H;C. H. EL LAUREL;EL LAUREL U1;0,71;0,75;0,58
PICHACAY;BGAS;C. T. PICHACAY;PICHACAY MC U1;0,43;0,56;0,55
ECOELECTRIC;BMAS;C. T. ECOELECTRIC;ECOELECTRIC U1;9,91;8,66;10,15
ECUAGESA S. A.;H;C. H. TOPO;TOPO U1;8,84;8,85;7,39
ECUAGESA S. A.;H;C. H. TOPO;TOPO U2;10,07;9,36;5,25
ELECTRISOL FV;FVOL;C. F. ELECTRISOL;ELECTRISOL FV U1;0,14;0,14;0,15
ELITENERGY;H;C. H. PUSUNO 1;PUSUNO 1 U1;3,90;2,83;0,48
ELITENERGY;H;C. H. PUSUNO 1;PUSUNO 1 U2;3,63;2,76;0,25
ELITENERGY;H;C. H. PUSUNO 1;PUSUNO 2 U1;2,54;2,31;0,31
ELITENERGY;H;C. H. PUSUNO 1;PUSUNO 2 U2;3,13;1,90;0,25
ECOLUZ;H;C. H. PAPALLACTA;PAPALLACTA U1;0,12;0,03;0,00
ECOLUZ;H;C. H. PAPALLACTA;PAPALLACTA U2;2,47;1,80;1,48
ECOLUZ GENERADOR;H;C. H. LORETO;LORETO U1;0,90;0,81;0,90
ENERMAX;H;C. H. CALOPE;CALOPE U1;4,20;4,02;0,51
ENERMAX;H;C. H. CALOPE;CALOPE U2;2,32;0,30;2,60
ENERSOL;FVOL;C. F. PREDIO 1;PREDIO 1 FV U1;0,02;0,03;0,02
EP FOTOVOLTAICA;FVOL;C. F. SUNCO MULAL�;SUNCO MULAL� FV U1;0,12;0,12;0,12
EP FOTOVOLTAICA;FVOL;C. F. SUNCO PASTOCALLE;SUNCO PASTOCALLE FV U1;0,12;0,13;0,10
EMAAP-Q GENERADOR;H;C. H. CHALPI;CHALPI U1;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
EMAAP-Q GENERADOR;H;C. H. CHALPI;CHALPI U2;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
EMAAP-Q GENERADOR;H;MICROCENTRAL TANQUE ALTO CARCEL�N;TANQUE ALTO CARCEL�N U01;No hubo producci�n en este periodo;0,01;0,02
FMA HIDROTAMBO;H;C. H. SAN JOS� DE TAMBO;SAN JOSE DE TAMBO U1;2,16;2,62;1,33
FMA HIDROTAMBO;H;C. H. SAN JOS� DE TAMBO;SAN JOSE DE TAMBO U2;2,11;0,22;0,82
GENRENOTEC;FVOL;C. F.  GENRENOTEC;GENRENOTEC FV U01;0,07;0,07;0,08
GASGREEN;BGAS;C. T. EL INGA;EL INGA MC U1;2,72;2,44;1,84
GENEROCA;T;C. T. GENEROCA;GENEROCA U1;1,17;2,48;1,32
GENEROCA;T;C. T. GENEROCA;GENEROCA U2;0,75;2,50;2,22
GENEROCA;T;C. T. GENEROCA;GENEROCA U3;1,14;2,30;2,33
GENEROCA;T;C. T. GENEROCA;GENEROCA U4;1,08;2,12;2,19
GENEROCA;T;C. T. GENEROCA;GENEROCA U5;1,20;2,51;2,32
GENEROCA;T;C. T. GENEROCA;GENEROCA U6;No hubo producci�n en este periodo;0,12;2,41
GENEROCA;T;C. T. GENEROCA;GENEROCA U7;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
GENEROCA;T;C. T. GENEROCA;GENEROCA U8;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
GRANSOLAR;FVOL;C. F. SALINAS;SALINAS FV U1;0,31;0,32;0,31
GRANSOLAR;FVOL;C. F. TREN SALINAS;TREN SALINAS FV U01;0,15;0,16;0,16
GONZANERGY;FVOL;C. F. GONZAENERGY;GONZANERGY FV U01;0,15;0,15;0,13
HIDROABANICO;H;C. H. ABANICO 2;HABANICO 2 U1;5,49;5,55;5,43
HIDROABANICO;H;C. H. ABANICO 2;HABANICO 2 U2;5,47;5,39;4,83
HIDROABANICO;H;C. H. ABANICO;HABA_U_1_GEN.HIDR;5,29;5,27;4,92
HIDROABANICO;H;C. H. ABANICO;HABA_U_2_GEN.HIDR;5,15;5,19;4,85
HIDROABANICO;H;C. H. ABANICO;HABA_U_3_GEN.HIDR;5,14;5,28;4,40
HIDROABANICO;H;C. H. ABANICO;HABA_U_4_GEN.HIDR;5,13;5,28;4,93
HIDROABANICO;H;C. H. ABANICO;HABA_U_5_GEN.HIDR;5,19;5,26;4,92
HIDROALTO S.A.;H;C. H. DUE2;DUE U3;7,89;3,70;4,26
HIDROALTO S.A.;H;C. H. DUE;DUE U1;12,79;11,25;6,44
HIDROALTO S.A.;H;C. H. DUE;DUE U2;16,33;7,64;10,57
HSABANILLA;H;C. H. SABANILLA;SABANILLA U1;10,17;6,76;7,19
HSABANILLA;H;C. H. SABANILLA;SABANILLA U2;10,44;6,98;4,38
SIBIMBE ECO;H;C. H. SIBIMBE;SIBIMBE U1;2,41;0,01;0,97
SIBIMBE ECO;H;C. H. SIBIMBE;SIBIMBE U2;3,08;3,67;1,08
SIBIMBE;H;C. H. CORAZON;CORAZON U01;0,29;0,29;0,39
SIBIMBE;H;C. H. URAV�A;URAVIA U01;0,37;0,28;0,34
HIDROIMBABURA;H;C. H. HIDROCAROLINA;HIDROCAROLINA U01;0,28;0,14;0,02
HIDROMIRA EP;H;C. H. HIDROMIRA;HIDROMIRA FICTICIA;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
HIDROMIRA EP;H;C. H. HIDROMIRA;HIDROMIRA U1;0,71;0,70;0,52
HIDRONORMANDIA;H;C. H. NORMANDIA;NORMANDIA U1;7,17;6,32;3,86
HIDRONORMANDIA;H;C. H. NORMANDIA;NORMANDIA U2;7,21;6,57;5,23
