CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
10150,CUENCA,0101,CUENCA,1,5,2,1,1,1,9,2,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,1,5,5,1,1,1,7,2,2,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,1,5,11,1,1,1,1,1,1,10150,2,1,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,1,12,3,1,1,1,10,2,2,10150,1,2,1,31.94547851,31.94547851
10150,CUENCA,0101,CUENCA,1,12,6,1,1,1,7,1,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,1,12,14,1,1,1,9,2,1,10150,5, ,1,31.94547851,223.61834957
10150,CUENCA,0101,CUENCA,1,12,15,1,1,1,11,2,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,1,12,22,1,1,2,11,1,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,2,3,12,1,1,1,2,2,1,10150,2,2,1,34.84961292,104.54883876
10150,CUENCA,0101,CUENCA,2,12,16,1,1,1,7,2,2,10150,5, ,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,3,6,4,1,1,1,10,2,1,10150,5, ,1,31.94547851,127.78191404
10150,CUENCA,0101,CUENCA,3,6,20,1,1,1,7,2,1,10150,5, , ,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,3,6,20,1,2,1,8,2,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,3,6,21,1,1,1,7,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,4,4,1,1,1,1,11,2,1,10150,5, ,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,5,5,16,1,1,1,8,2,1,10150,2,2,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,5,5,18,1,1,3,2,1,1,10150,5, ,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,5,8,20,1,1,1,11,2,1,10150,5, ,1,38.33457421,76.66914842
10150,CUENCA,0101,CUENCA,5,8,24,1,1,1,4,2,1,10150,5, ,1,38.33457421,76.66914842
10150,CUENCA,0101,CUENCA,7,2,7,1,1,1,9,2,1,10150,2,1,1,31.94547851,31.94547851
10150,CUENCA,0101,CUENCA,8,2,8,1,1,1,12,1,1,10150,5, ,1,33.33441235,100.00323705
10150,CUENCA,0101,CUENCA,8,4,20,1,1,3,2,1,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,9,3,4,1,1,4,2,2,2,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,9,10,2,1,1,1,3,2,2,10150,2,1,1,31.94547851,31.94547851
10150,CUENCA,0101,CUENCA,11,3,3,1,1,2,6,1,2,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,12,8,8,1,1,4,8,2,2,10150,5, ,1,33.33441235,33.33441235
10150,CUENCA,0101,CUENCA,13,10,2,1,1,1,1,1,2,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,13,10,7,1,1,1,11,2,2,10150,5, ,1,31.94547851,127.78191404
10150,CUENCA,0101,CUENCA,13,10,20,1,1,4,2,2,2,10150,3,2,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,16,3,7,1,1,1,3,1,1,10150,5, ,1,31.94547851,127.78191404
10150,CUENCA,0101,CUENCA,16,3,15,1,1,1,1,2,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,16,4,1,1,1,2,6,2,2,10150,5, ,1,31.94547851,31.94547851
10150,CUENCA,0101,CUENCA,18,1,5,1,1,3,6,2,2,10150,5, ,1,34.84961292,139.39845168
10150,CUENCA,0101,CUENCA,19,5,4,1,1,1,1,1,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,19,5,10,1,1,1,3,2,1,10150,5, ,1,31.94547851,31.94547851
10150,CUENCA,0101,CUENCA,20,8,18,1,1,1,12,2,1,10150,5, , ,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,20,8,18,1,2,1,1,2,1,10150,5, , ,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,20,8,18,1,3,1,3,2,1,10150,5, , ,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,20,8,18,1,4,1,5,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,21,7,17,1,1,4,1,2,2,10150,5, ,1,33.33441235,33.33441235
10150,CUENCA,0101,CUENCA,21,7,18,1,1,1,3,2,2,10150,5, ,1,33.33441235,33.33441235
10150,CUENCA,0101,CUENCA,21,7,20,1,1,1,6,1,2,10150,3,1,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,22,11,1,1,1,1,9,2,2,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,22,11,7,1,1,1,5,2,1,10150,5, ,1,31.94547851,127.78191404
10150,CUENCA,0101,CUENCA,23,4,16,1,1,4,8,2,2,10150,5, ,1,31.94547851,31.94547851
10150,CUENCA,0101,CUENCA,23,8,12,1,1,1,12,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,25,2,12,1,1,1,2,1,2,10150,5, , ,31.94547851,159.72739255
10150,CUENCA,0101,CUENCA,25,2,12,1,2,1,5,1,2,10150,5, , ,31.94547851,159.72739255
10150,CUENCA,0101,CUENCA,25,2,12,1,3,1,6,1,2,10150,5, ,1,31.94547851,159.72739255
10150,CUENCA,0101,CUENCA,25,2,16,1,1,1,9,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,27,7,15,1,1,2,9,2,2,10150,1,1,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,27,7,23,1,1,1,11,1,2,10150,2,1,1,33.33441235,33.33441235
10150,CUENCA,0101,CUENCA,28,9,18,1,1,2,12,1,1,10150,5, ,1,33.33441235,33.33441235
10150,CUENCA,0101,CUENCA,30,4,19,1,1,4,3,2,2,10150,2,2, ,34.84961292,104.54883876
10150,CUENCA,0101,CUENCA,30,4,19,1,2,4,8,2,2,10150,5, ,1,34.84961292,104.54883876
10150,CUENCA,0101,CUENCA,32,1,18,1,1,1,3,2,1,10150,5, ,1,34.84961292,104.54883876
10150,CUENCA,0101,CUENCA,33,2,9,1,1,1,8,2,1,10150,5, ,1,34.84961292,174.2480646
10150,CUENCA,0101,CUENCA,33,2,10,1,1,1,9,1,1,10150,5, , ,34.84961292,69.69922584
10150,CUENCA,0101,CUENCA,33,2,10,1,2,1,1,1,1,10150,5, , ,34.84961292,69.69922584
10150,CUENCA,0101,CUENCA,33,2,10,1,3,1,7,1,1,10150,5, ,1,34.84961292,69.69922584
10150,CUENCA,0101,CUENCA,33,2,16,1,1,2,2,2,2,10150,5, ,1,34.84961292,69.69922584
10150,CUENCA,0101,CUENCA,35,1,15,1,1,1,8,2,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,36,10,14,1,1,1,10,1,2,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,36,10,20,1,1,4,5,2,2,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,37,7,19,1,1,1,3,2,1,10150,5, ,1,33.33441235,133.3376494
10150,CUENCA,0101,CUENCA,37,7,20,1,1,1,3,2,1,10150,5, , ,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,37,7,20,1,2,1,4,2,1,10150,5, ,1,33.33441235,66.6688247
10150,CUENCA,0101,CUENCA,38,2,13,1,1,4,9,2,2,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,39,6,9,1,1,1,12,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,40,1,17,1,1,2,2,2,1,10150,1,1,1,33.33441235,33.33441235
10150,CUENCA,0101,CUENCA,40,11,22,1,1,2,1,2,2,10150,5, ,1,34.84961292,69.69922584
10150,CUENCA,0101,CUENCA,40,13,21,1,1,1,8,2,2,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,41,2,8,1,1,1,8,2,1,10150,5, ,1,38.33457421,38.33457421
10150,CUENCA,0101,CUENCA,42,8,18,1,1,2,5,2,2,10150,3,1,1,31.94547851,31.94547851
10150,CUENCA,0101,CUENCA,44,1,4,1,1,1,5,2,1,10150,1,2,1,31.94547851,127.78191404
10150,CUENCA,0101,CUENCA,44,6,1,1,1,1,9,2,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,45,1,23,1,1,2,5,1,2,10150,5, ,1,31.94547851,159.72739255
10150,CUENCA,0101,CUENCA,45,4,8,1,1,1,8,2,1,10150,5, ,1,33.33441235,200.0064741
10150,CUENCA,0101,CUENCA,50,1,14,1,1,1,8,2,2,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,51,2,15,1,1,2,8,2,1,10150,5, , ,34.84961292,174.2480646
10150,CUENCA,0101,CUENCA,51,2,15,1,2,2,8,2,1,10150,5, ,1,34.84961292,174.2480646
10150,CUENCA,0101,CUENCA,52,1,5,1,1,1,4,2,2,10150,5, ,1,31.94547851,127.78191404
10150,CUENCA,0101,CUENCA,53,5,16,1,1,1,8,1,1,10150,5, ,1,31.94547851,159.72739255
