CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
10150,CUENCA,101,CUENCA,3,6,21,1,1,1,7,2,1,10150,5,,1.0,31.94547851,63.89095702
10150,CUENCA,101,CUENCA,4,4,1,1,1,1,11,2,1,10150,5,,1.0,33.33441235,66.6688247
10150,CUENCA,101,CUENCA,19,5,10,1,1,1,3,2,1,10150,5,,1.0,31.94547851,31.94547851
10150,CUENCA,101,CUENCA,20,8,18,1,1,1,12,2,1,10150,5,,,31.94547851,63.89095702
10150,CUENCA,101,CUENCA,23,8,12,1,1,1,12,2,1,10150,5,,1.0,31.94547851,63.89095702
10150,CUENCA,101,CUENCA,25,2,16,1,1,1,9,2,1,10150,5,,1.0,31.94547851,63.89095702
10150,CUENCA,101,CUENCA,37,7,20,1,1,1,3,2,1,10150,5,,,33.33441235,66.6688247
10150,CUENCA,101,CUENCA,39,6,9,1,1,1,12,2,1,10150,5,,1.0,31.94547851,63.89095702
10150,CUENCA,101,CUENCA,44,6,1,1,1,1,9,2,1,10150,5,,1.0,31.94547851,63.89095702
10150,CUENCA,101,CUENCA,60,5,6,1,1,1,7,2,1,10150,5,,1.0,31.94547851,63.89095702
10150,CUENCA,101,CUENCA,65,6,11,1,1,1,2,2,1,10150,5,,1.0,33.33441235,66.6688247
10150,CUENCA,101,CUENCA,71,7,15,1,1,1,4,2,1,10150,5,,1.0,31.94547851,63.89095702
10150,CUENCA,101,CUENCA,78,9,12,1,1,1,1,1,1,10150,5,,1.0,31.94547851,63.89095702
10152,CUMBE,101,CUENCA,1,6,5,1,1,1,2,2,1,10150,5,,1.0,33.33441235,66.6688247
10152,CUMBE,101,CUENCA,1,6,7,1,1,1,3,2,1,10152,5,,1.0,33.33441235,33.33441235
10162,RICAURTE,101,CUENCA,1,13,20,1,1,1,10,1,1,10150,5,,1.0,31.94547851,63.89095702
10162,RICAURTE,101,CUENCA,2,6,11,1,1,1,8,2,1,10150,5,,1.0,33.33441235,66.6688247
10350,GUALACEO,103,GUALACEO,1,6,6,1,1,1,5,2,1,10350,5,,,8.542672368,17.085344736
10350,GUALACEO,103,GUALACEO,2,6,17,1,1,1,8,2,1,10350,5,,1.0,9.763054135,19.52610827
10350,GUALACEO,103,GUALACEO,3,5,18,1,1,1,1,1,1,10350,5,,1.0,8.914092906,35.656371624
10350,GUALACEO,103,GUALACEO,4,1,5,1,1,1,7,2,1,10350,5,,1.0,8.542672368,17.085344736
